id;fecha_hora_creacion;fecha_hora_partido;equipo_a_confirmado;equipo_b_confirmado
1;2020-05-24T22:35:26;2020-05-24T16:18:03;false;false
2;2020-05-25T02:04:05;2020-05-24T07:39:58;true;true
3;2020-05-24T19:45:31;2020-05-24T14:12:28;false;false
4;2020-05-25T02:11:33;2020-05-24T10:14:22;false;false
5;2020-05-24T13:50:43;2020-05-24T18:11:10;false;false
6;2020-05-24T16:20:11;2020-05-24T10:55:49;false;true
7;2020-05-24T21:27:32;2020-05-24T08:04:26;false;false
8;2020-05-24T09:10:06;2020-05-25T04:27:44;true;false
9;2020-05-25T04:20:32;2020-05-24T12:24:17;false;false
10;2020-05-24T22:50:25;2020-05-24T21:05:59;false;false
